"frame_time","frame_len","ip_dst","ip_src","dns_qry_name","dns_qry_class_name","dns_qry_type_name","dns_qry_rcode_name","dns_a"
"Jul  8 2016 03:41:05.624708000 UTC","233","172.16.0.163","10.0.3.153","ra211-hspare-csc55-b.ra211-hspare-csc55-b","Internet (IN)","A","NoError","50.55.46.49"
"Jul  8 2016 03:50:46.498906000 UTC","233","172.16.0.173","10.0.3.138","ra211-hspare-csc55-b.ra211-hspare-csc55-b","Internet (IN)","A","NoError","49.52.46.49"
"Jul  8 2016 03:08:53.505556000 UTC","231","172.16.0.164","10.0.3.153","ra211-hspare-csc55-b.ra211-hspare-csc55-b","Internet (IN)","A","NoError","53.46.55.50"
"Jul  8 2016 03:22:43.826027000 UTC","231","172.16.0.196","10.0.3.137","ra211-hspare-csc55-b.ra211-hspare-csc55-b","Internet (IN)","A","NoError","53.46.52.53"
"Jul  8 2016 03:13:31.038465000 UTC","233","172.16.0.166","10.0.4.22","ra211-hspare-csc55-b.ra211-hspare-csc55-b","Internet (IN)","A","NoError","50.46.49.56"
"Jul  8 2016 03:45:53.731876000 UTC","231","172.16.0.185","10.0.3.144","ra211-hspare-csc55-b.ra211-hspare-csc55-b","Internet (IN)","A","NoError","53.46.50.49"
"Jul  8 2016 03:37:11.829253000 UTC","227","172.16.0.169","10.0.4.0","ra211-hspare-csc55-b.ra211-hspare-csc55-b","Internet (IN)","A","NoError","53.46.55.52"
"Jul  8 2016 03:56:07.199343000 UTC","235","172.16.0.170","10.0.4.64","ra211-hspare-csc55-b.ra211-hspare-csc55-b","Internet (IN)","A","NoError","49.52.46.49"
"Jul  8 2016 03:52:29.392916000 UTC","227","172.16.0.168","10.0.4.11","ra211-hspare-csc55-b.ra211-hspare-csc55-b","Internet (IN)","A","NoError","50.51.46.50"
"Jul  8 2016 03:32:10.549394000 UTC","231","172.16.0.195","10.0.3.249","ra211-hspare-csc55-b.ra211-hspare-csc55-b","Internet (IN)","A","NoError","49.52.46.57"
