"frame_time","frame_len","ip_dst","ip_src","dns_qry_name","dns_qry_class_name","dns_qry_type_name","dns_qry_rcode_name","dns_a"
"Jul  8 2016 06:08:37.196395000 UTC","297","172.16.0.182","10.0.4.14","stjhnbsu1kw-047054242230.dhcp-dynamic.fibreop.nb.bellaliant.net","Internet (IN)","A","NoError","49.50.46.49"
"Jul  8 2016 06:32:16.320668000 UTC","301","172.16.0.173","10.0.3.238","stjhnbsu1kw-047054242230.dhcp-dynamic.fibreop.nb.bellaliant.net","Internet (IN)","A","NoError","49.52.46.49"
"Jul  8 2016 06:38:42.171004000 UTC","299","172.16.0.165","10.0.3.154","stjhnbsu1kw-047054242230.dhcp-dynamic.fibreop.nb.bellaliant.net","Internet (IN)","A","NoError","49.52.46.49"
"Jul  8 2016 06:14:22.659623000 UTC","297","172.16.0.167","10.0.3.155","stjhnbsu1kw-047054242230.dhcp-dynamic.fibreop.nb.bellaliant.net","Internet (IN)","A","NoError","53.46.50.50"
"Jul  8 2016 06:29:01.112427000 UTC","301","172.16.0.198","10.0.4.6","stjhnbsu1kw-047054242230.dhcp-dynamic.fibreop.nb.bellaliant.net","Internet (IN)","A","NoError","49.52.46.49"
"Jul  8 2016 06:51:53.212214000 UTC","301","172.16.0.184","10.0.4.15","stjhnbsu1kw-047054242230.dhcp-dynamic.fibreop.nb.bellaliant.net","Internet (IN)","A","NoError","49.52.46.49"
"Jul  8 2016 06:58:03.256607000 UTC","301","172.16.0.163","10.0.3.213","stjhnbsu1kw-047054242230.dhcp-dynamic.fibreop.nb.bellaliant.net","Internet (IN)","A","NoError","49.52.46.49"
"Jul  8 2016 06:37:01.914782000 UTC","297","172.16.0.194","10.0.4.32","stjhnbsu1kw-047054242230.dhcp-dynamic.fibreop.nb.bellaliant.net","Internet (IN)","A","NoError","53.46.50.49"
"Jul  8 2016 06:27:18.080838000 UTC","299","172.16.0.195","10.0.3.149","stjhnbsu1kw-047054242230.dhcp-dynamic.fibreop.nb.bellaliant.net","Internet (IN)","A","NoError","53.46.50.52"
"Jul  8 2016 06:43:42.914475000 UTC","297","172.16.0.168","10.0.3.167","stjhnbsu1kw-047054242230.dhcp-dynamic.fibreop.nb.bellaliant.net","Internet (IN)","A","NoError","50.52.46.49"
