"frame_time","frame_len","ip_dst","ip_src","dns_qry_name","dns_qry_class_name","dns_qry_type_name","dns_qry_rcode_name","dns_a"
"Jul  8 2016 03:51:39.649312000 UTC","239","172.16.0.187","10.0.3.205","www.clearpointcreditcounselingsolutions.org","Internet (IN)","A","NoError","49.52.46.49"
"Jul  8 2016 03:16:05.664388000 UTC","237","172.16.0.169","10.0.4.0","www.clearpointcreditcounselingsolutions.org","Internet (IN)","A","NoError","49.52.46.49"
"Jul  8 2016 03:46:26.578218000 UTC","235","172.16.0.181","10.0.3.182","www.clearpointcreditcounselingsolutions.org","Internet (IN)","A","NoError","50.55.46.49"
"Jul  8 2016 03:29:37.378817000 UTC","239","172.16.0.196","10.0.4.5","www.clearpointcreditcounselingsolutions.org","Internet (IN)","A","NoError","49.52.46.49"
"Jul  8 2016 03:12:37.305365000 UTC","233","172.16.0.197","10.0.3.250","www.clearpointcreditcounselingsolutions.org","Internet (IN)","A","NoError","53.46.50.46"
"Jul  8 2016 03:31:23.536850000 UTC","235","172.16.0.170","10.0.4.72","www.clearpointcreditcounselingsolutions.org","Internet (IN)","A","NoError","49.46.53.52"
"Jul  8 2016 03:41:33.149983000 UTC","237","172.16.0.183","10.0.3.223","www.clearpointcreditcounselingsolutions.org","Internet (IN)","A","NoError","49.46.49.56"
"Jul  8 2016 03:55:07.689010000 UTC","235","172.16.0.164","10.0.3.153","www.clearpointcreditcounselingsolutions.org","Internet (IN)","A","NoError","53.46.50.51"
"Jul  8 2016 03:26:33.581652000 UTC","241","172.16.0.175","10.0.3.239","www.clearpointcreditcounselingsolutions.org","Internet (IN)","A","NoError","49.52.46.49"
"Jul  8 2016 03:11:26.299745000 UTC","239","172.16.0.200","10.0.4.47","www.clearpointcreditcounselingsolutions.org","Internet (IN)","A","NoError","49.52.46.49"
