"frame_time","frame_len","ip_dst","ip_src","dns_qry_name","dns_qry_class_name","dns_qry_type_name","dns_qry_rcode_name","dns_a"
"Jul  8 2016 08:35:35.028187000 UTC","269","172.16.0.187","10.0.3.225","www.hasthelargehadroncolliderdestroyedtheworldyet.com","Internet (IN)","A","NoError","49.52.46.49"
"Jul  8 2016 08:55:07.856765000 UTC","269","172.16.0.174","10.0.4.26","www.hasthelargehadroncolliderdestroyedtheworldyet.com","Internet (IN)","A","NoError","49.52.46.49"
"Jul  8 2016 08:21:47.219714000 UTC","265","172.16.0.178","10.0.4.76","www.hasthelargehadroncolliderdestroyedtheworldyet.com","Internet (IN)","A","NoError","50.55.46.51"
"Jul  8 2016 08:36:45.384448000 UTC","267","172.16.0.183","10.0.3.143","www.hasthelargehadroncolliderdestroyedtheworldyet.com","Internet (IN)","A","NoError","50.55.46.51"
"Jul  8 2016 08:51:54.144832000 UTC","267","172.16.0.181","10.0.3.182","www.hasthelargehadroncolliderdestroyedtheworldyet.com","Internet (IN)","A","NoError","49.46.53.52"
"Jul  8 2016 08:08:32.273598000 UTC","269","172.16.0.163","10.0.3.173","www.hasthelargehadroncolliderdestroyedtheworldyet.com","Internet (IN)","A","NoError","49.52.46.49"
"Jul  8 2016 08:56:49.658244000 UTC","269","172.16.0.163","10.0.3.253","www.hasthelargehadroncolliderdestroyedtheworldyet.com","Internet (IN)","A","NoError","49.52.46.49"
"Jul  8 2016 08:17:54.899725000 UTC","269","172.16.0.167","10.0.3.175","www.hasthelargehadroncolliderdestroyedtheworldyet.com","Internet (IN)","A","NoError","49.52.46.49"
"Jul  8 2016 08:22:31.718258000 UTC","269","172.16.0.189","10.0.3.186","www.hasthelargehadroncolliderdestroyedtheworldyet.com","Internet (IN)","A","NoError","50.46.49.55"
"Jul  8 2016 08:50:13.494834000 UTC","267","172.16.0.165","10.0.3.234","www.hasthelargehadroncolliderdestroyedtheworldyet.com","Internet (IN)","A","NoError","50.46.49.51"
