"frame_time","frame_len","ip_dst","ip_src","dns_qry_name","dns_qry_class_name","dns_qry_type_name","dns_qry_rcode_name","dns_a"
"Jul  8 2016 05:33:55.715091000 UTC","236","172.16.0.183","10.0.3.203","www.this-page-intentionally-left-blank.org","Internet (IN)","A","NoError","49.52.46.57"
"Jul  8 2016 05:10:59.269181000 UTC","236","172.16.0.172","10.0.3.169","www.this-page-intentionally-left-blank.org","Internet (IN)","A","NoError","49.52.46.49"
"Jul  8 2016 05:19:37.565729000 UTC","236","172.16.0.182","10.0.3.186","www.this-page-intentionally-left-blank.org","Internet (IN)","A","NoError","50.46.49.55"
"Jul  8 2016 05:53:10.053923000 UTC","234","172.16.0.195","10.0.3.249","www.this-page-intentionally-left-blank.org","Internet (IN)","A","NoError","49.52.46.49"
"Jul  8 2016 05:14:44.502803000 UTC","232","172.16.0.177","10.0.3.180","www.this-page-intentionally-left-blank.org","Internet (IN)","A","NoError","49.52.46.49"
"Jul  8 2016 05:20:31.900204000 UTC","236","172.16.0.175","10.0.3.219","www.this-page-intentionally-left-blank.org","Internet (IN)","A","NoError","49.52.46.49"
"Jul  8 2016 05:30:18.371213000 UTC","236","172.16.0.191","10.0.3.247","www.this-page-intentionally-left-blank.org","Internet (IN)","A","NoError","50.55.46.49"
"Jul  8 2016 05:04:40.120485000 UTC","238","172.16.0.174","10.0.4.26","www.this-page-intentionally-left-blank.org","Internet (IN)","A","NoError","49.52.46.49"
"Jul  8 2016 05:48:18.299613000 UTC","234","172.16.0.179","10.0.3.181","www.this-page-intentionally-left-blank.org","Internet (IN)","A","NoError","49.52.46.49"
"Jul  8 2016 05:06:02.432777000 UTC","232","172.16.0.165","10.0.3.194","www.this-page-intentionally-left-blank.org","Internet (IN)","A","NoError","49.46.52.55"
