"frame_time","frame_len","ip_dst","ip_src","dns_qry_name","dns_qry_class_name","dns_qry_type_name","dns_qry_rcode_name","dns_a"
"Jul  8 2016 03:13:41.393807000 UTC","233","172.16.0.200","10.0.4.35","www.wholesalechristianlouboutinonline.com","Internet (IN)","A","NoError","49.52.46.49"
"Jul  8 2016 03:22:55.313476000 UTC","235","172.16.0.198","10.0.3.178","www.wholesalechristianlouboutinonline.com","Internet (IN)","A","NoError","49.52.46.49"
"Jul  8 2016 03:57:48.519701000 UTC","231","172.16.0.170","10.0.4.64","www.wholesalechristianlouboutinonline.com","Internet (IN)","A","NoError","53.46.50.49"
"Jul  8 2016 03:09:06.862365000 UTC","231","172.16.0.184","10.0.3.159","www.wholesalechristianlouboutinonline.com","Internet (IN)","A","NoError","49.52.46.49"
"Jul  8 2016 03:51:31.028972000 UTC","233","172.16.0.197","10.0.3.150","www.wholesalechristianlouboutinonline.com","Internet (IN)","A","NoError","49.52.46.49"
"Jul  8 2016 03:36:20.673387000 UTC","229","172.16.0.198","10.0.4.34","www.wholesalechristianlouboutinonline.com","Internet (IN)","A","NoError","50.55.46.50"
"Jul  8 2016 03:37:22.120065000 UTC","229","172.16.0.190","10.0.4.58","www.wholesalechristianlouboutinonline.com","Internet (IN)","A","NoError","53.46.50.51"
"Jul  8 2016 03:32:21.976554000 UTC","229","172.16.0.165","10.0.3.134","www.wholesalechristianlouboutinonline.com","Internet (IN)","A","NoError","49.52.46.57"
"Jul  8 2016 03:12:29.165130000 UTC","233","172.16.0.181","10.0.3.222","www.wholesalechristianlouboutinonline.com","Internet (IN)","A","NoError","49.52.46.49"
"Jul  8 2016 03:26:25.106644000 UTC","231","172.16.0.172","10.0.4.25","www.wholesalechristianlouboutinonline.com","Internet (IN)","A","NoError","53.46.50.50"
