total,dns_qry_name,ip_dst,sev
2,1234.hbrbdknti0ecaca3nymwkyly.1200195206.cmos.greencompute.org,172.16.0.165,0
2,1234.hbrbdknti0ecaca3nymwkyly.1200195206.cmos.greencompute.org,172.16.0.171,0
2,1234.hbrbdknti0ecaca3nymwkyly.1200195206.cmos.greencompute.org,172.16.0.173,0
2,1234.hbrbdknti0ecaca3nymwkyly.1200195206.cmos.greencompute.org,172.16.0.172,0
2,1234.hbrbdknti0ecaca3nymwkyly.1200195206.cmos.greencompute.org,172.16.0.186,0
2,1234.hbrbdknti0ecaca3nymwkyly.1200195206.cmos.greencompute.org,172.16.0.191,0
2,1234.hbrbdknti0ecaca3nymwkyly.1200195206.cmos.greencompute.org,172.16.0.200,0
2,1234.hbrbdknti0ecaca3nymwkyly.1200195206.cmos.greencompute.org,172.16.0.174,0
1,1234.hbrbdknti0ecaca3nymwkyly.1200195206.cmos.greencompute.org,172.16.0.166,0
1,1234.hbrbdknti0ecaca3nymwkyly.1200195206.cmos.greencompute.org,172.16.0.197,0
1,1234.hbrbdknti0ecaca3nymwkyly.1200195206.cmos.greencompute.org,172.16.0.176,0
1,1234.hbrbdknti0ecaca3nymwkyly.1200195206.cmos.greencompute.org,172.16.0.195,0
1,1234.hbrbdknti0ecaca3nymwkyly.1200195206.cmos.greencompute.org,172.16.0.181,0
1,1234.hbrbdknti0ecaca3nymwkyly.1200195206.cmos.greencompute.org,172.16.0.199,0
1,1234.hbrbdknti0ecaca3nymwkyly.1200195206.cmos.greencompute.org,172.16.0.198,0
1,1234.hbrbdknti0ecaca3nymwkyly.1200195206.cmos.greencompute.org,172.16.0.179,0
1,1234.hbrbdknti0ecaca3nymwkyly.1200195206.cmos.greencompute.org,172.16.0.187,0
1,1234.hbrbdknti0ecaca3nymwkyly.1200195206.cmos.greencompute.org,172.16.0.188,0
1,1234.hbrbdknti0ecaca3nymwkyly.1200195206.cmos.greencompute.org,172.16.0.196,0
1,1234.hbrbdknti0ecaca3nymwkyly.1200195206.cmos.greencompute.org,172.16.0.167,0
1,1234.hbrbdknti0ecaca3nymwkyly.1200195206.cmos.greencompute.org,172.16.0.183,0
1,1234.hbrbdknti0ecaca3nymwkyly.1200195206.cmos.greencompute.org,172.16.0.175,0
1,1234.hbrbdknti0ecaca3nymwkyly.1200195206.cmos.greencompute.org,172.16.0.170,0
1,1234.hbrbdknti0ecaca3nymwkyly.1200195206.cmos.greencompute.org,172.16.0.169,0
1,1234.hbrbdknti0ecaca3nymwkyly.1200195206.cmos.greencompute.org,172.16.0.178,0
1,1234.hbrbdknti0ecaca3nymwkyly.1200195206.cmos.greencompute.org,172.16.0.164,0
1,1234.hbrbdknti0ecaca3nymwkyly.1200195206.cmos.greencompute.org,172.16.0.168,0
1,1234.hbrbdknti0ecaca3nymwkyly.1200195206.cmos.greencompute.org,172.16.0.185,0
1,1234.hbrbdknti0ecaca3nymwkyly.1200195206.cmos.greencompute.org,172.16.0.202,0
