tstart	tend	srcip	dstip	proto	sport	dport	pkts	bytes
2016-07-08 11:53:35	2016-07-08 11:53:35	10.199.250.2	172.10.0.40	TCP	20	3552	5	829
2016-07-08 06:03:42	2016-07-08 06:03:42	10.199.250.2	172.10.0.40	TCP	20	8403	5	829
2016-07-08 07:24:38	2016-07-08 07:24:38	10.199.250.2	172.10.0.40	TCP	20	20679	5	829
2016-07-08 09:02:06	2016-07-08 09:02:06	10.199.250.2	172.10.1.110	TCP	21	4636	3	189
2016-07-08 08:20:41	2016-07-08 08:20:41	10.199.250.2	172.10.1.115	TCP	21	2576	3	189
2016-07-08 07:33:21	2016-07-08 07:33:21	10.199.250.2	172.10.1.118	TCP	21	2348	3	189
2016-07-08 08:52:04	2016-07-08 08:52:04	10.199.250.2	172.10.1.122	TCP	21	3901	3	189
2016-07-08 08:16:09	2016-07-08 08:16:09	10.199.250.2	172.10.1.123	TCP	21	2688	3	189
2016-07-08 10:23:21	2016-07-08 10:23:21	10.199.250.2	172.10.1.124	TCP	21	2510	3	189
2016-07-08 08:12:57	2016-07-08 08:12:57	10.199.250.2	172.10.1.124	TCP	21	3113	3	189
2016-07-08 11:18:10	2016-07-08 11:18:10	10.199.250.2	172.10.1.127	TCP	21	2930	3	189
2016-07-08 07:36:40	2016-07-08 07:36:40	10.199.250.2	172.10.1.128	TCP	21	1879	3	189
2016-07-08 10:38:00	2016-07-08 10:38:00	10.199.250.2	172.10.1.129	TCP	21	4266	3	189
2016-07-08 09:37:15	2016-07-08 09:37:15	10.199.250.2	172.10.1.133	TCP	21	1265	3	189
2016-07-08 09:36:14	2016-07-08 09:36:14	10.199.250.2	172.10.1.134	TCP	21	3148	3	189
2016-07-08 10:04:35	2016-07-08 10:04:35	10.199.250.2	172.10.1.134	TCP	21	4840	3	189
2016-07-08 07:43:05	2016-07-08 07:43:05	10.199.250.2	172.10.1.137	TCP	21	3910	3	189
2016-07-08 09:43:42	2016-07-08 09:43:42	10.199.250.2	172.10.1.139	TCP	21	3689	3	189
2016-07-08 12:42:19	2016-07-08 12:42:19	10.199.250.2	172.10.1.140	TCP	21	3571	3	189
