p_date	p_time	clientip	host	webcat	respcode	reqmethod	useragent	resconttype	referer	uriport	serverip	scbytes	csbytes	fulluri
2016-07-08	04:57:49	10.254.75.186	hsn.mpl.miisolutions.net	Content Servers	Service Unavailable	POST	Shockwave Flash	-	http://www.hsn.com/arcade/alus_revenge/62/gameover/3507b21ded643e122a341d062ad466de	443	10.7.210.157	981	457	hsn.mpl.miisolutions.net/fcs/ident2
2016-07-08	05:18:28	10.254.75.186	hsn.mpl.miisolutions.net	Content Servers	Not Found	POST	Shockwave Flash	application/x-fcs	http://www.hsn.com/arcade/alus_revenge/62/gameover/16aa6046f17d3047f26612fd089d2d82	80	10.7.210.157	251	449	hsn.mpl.miisolutions.net/fcs/ident2
2016-07-08	05:18:42	10.254.75.186	hsn.mpl.miisolutions.net	Content Servers	Not Found	POST	Shockwave Flash	application/x-fcs	http://www.hsn.com/arcade/mahjongg-dark-dimensions/11	80	10.7.210.157	251	419	hsn.mpl.miisolutions.net/fcs/ident2
2016-07-08	08:45:57	10.254.75.186	hsn.mpl.miisolutions.net	Content Servers	Service Unavailable	POST	Shockwave Flash	-	http://www.hsn.com/arcade/sparks/31	443	10.7.210.157	981	409	hsn.mpl.miisolutions.net/fcs/ident2
2016-07-08	07:35:43	10.254.75.186	hsn.mpl.miisolutions.net	Content Servers	Not Found	POST	Shockwave Flash	application/x-fcs	http://www.hsn.com/arcade/sparks/31	1935	10.7.210.157	251	411	hsn.mpl.miisolutions.net/fcs/ident2
2016-07-08	07:35:51	10.254.75.186	hsn.mpl.miisolutions.net	Content Servers	Not Found	POST	Shockwave Flash	application/x-fcs	http://www.hsn.com/arcade/sparks/31	1935	10.7.210.157	251	411	hsn.mpl.miisolutions.net/fcs/ident2
2016-07-08	07:35:59	10.254.75.186	hsn.mpl.miisolutions.net	Content Servers	Not Found	POST	Shockwave Flash	application/x-fcs	http://www.hsn.com/arcade/sparks/31	1935	10.7.210.157	251	411	hsn.mpl.miisolutions.net/fcs/ident2
2016-07-08	07:36:08	10.254.75.186	hsn.mpl.miisolutions.net	Content Servers	Not Found	POST	Shockwave Flash	application/x-fcs	http://www.hsn.com/arcade/sparks/31	1935	10.7.210.157	251	411	hsn.mpl.miisolutions.net/fcs/ident2
2016-07-08	07:36:16	10.254.75.186	hsn.mpl.miisolutions.net	Content Servers	Not Found	POST	Shockwave Flash	application/x-fcs	http://www.hsn.com/arcade/sparks/31	1935	10.7.210.157	251	411	hsn.mpl.miisolutions.net/fcs/ident2
2016-07-08	07:36:25	10.254.75.186	hsn.mpl.miisolutions.net	Content Servers	Not Found	POST	Shockwave Flash	application/x-fcs	http://www.hsn.com/arcade/sparks/31	1935	10.7.210.157	251	411	hsn.mpl.miisolutions.net/fcs/ident2
