lda_score_MIN,from_IP,to_IP
1.50E-07,10.70.68.127,172.30.0.4
1.51E-07,10.13.77.49,172.20.0.3
1.51E-07,10.13.77.49,172.10.0.2
1.51E-07,10.13.77.49,172.10.0.40
1.51E-07,10.13.77.49,172.10.0.3
1.72E-07,10.200.20.2,172.30.0.4
1.75E-07,10.138.235.111,172.30.0.2
1.75E-07,10.138.235.111,172.30.0.3
1.75E-07,10.138.235.111,172.30.0.4
1.75E-07,10.138.235.111,172.10.0.40
1.79E-07,10.78.100.150,172.20.0.4
1.88E-07,10.13.77.49,172.30.0.4
2.87E-07,10.10.11.102,172.20.0.4
3.08E-07,10.13.77.49,172.20.0.5
3.08E-07,10.13.77.49,172.20.0.15
3.39E-07,10.17.15.10,172.10.0.3
3.39E-07,10.17.15.10,172.10.0.40
3.49E-07,10.12.15.152,172.10.0.2
3.49E-07,10.12.15.152,172.10.0.3
3.49E-07,10.12.15.152,172.20.0.3
3.49E-07,10.12.15.152,172.10.0.5
3.49E-07,10.12.15.152,172.10.0.40
3.52E-07,10.6.6.7,172.20.0.2
3.52E-07,10.6.6.7,172.20.0.5
3.52E-07,10.6.6.7,172.30.0.2
3.52E-07,10.6.6.7,172.20.0.3
3.64E-07,10.38.217.48,172.10.0.4
3.66E-07,10.78.100.150,172.10.0.4
3.78E-07,10.247.106.27,172.20.0.4
4.08E-07,10.138.214.18,172.20.0.15
4.16E-07,10.12.14.15,172.10.0.4
4.37E-07,10.170.32.181,172.20.0.4
4.44E-07,10.13.77.49,172.10.0.4
4.62E-07,10.15.7.85,172.30.0.4
5.17E-07,10.12.14.15,172.20.0.3
5.18E-07,10.138.235.111,172.30.0.5
5.18E-07,10.138.235.111,172.30.0.7
5.18E-07,10.138.235.111,172.30.0.6
5.66E-07,10.138.235.111,172.10.0.2
5.69E-07,10.57.81.245,172.30.0.4
5.75E-07,10.0.0.6,172.10.2.66
5.76E-07,10.0.3.77,172.20.1.81
5.76E-07,10.0.0.6,172.10.2.106
5.77E-07,10.0.3.77,172.30.1.218
5.77E-07,10.0.0.7,172.30.1.218
6.02E-07,10.57.84.113,172.30.0.4
6.29E-07,10.17.15.10,172.20.0.15
6.32E-07,10.7.5.5,172.10.0.40
6.32E-07,10.199.250.2,172.10.0.40
6.53E-07,10.3.1.25,172.10.0.3
6.93E-07,10.138.235.111,172.20.0.2
6.99E-07,10.12.14.15,172.20.0.2
7.02E-07,10.40.164.25,172.30.0.6
7.07E-07,10.62.15.101,172.20.0.3
7.15E-07,10.83.101.25,172.20.0.6
7.32E-07,10.0.0.42,172.30.0.4
