firstseen	srcip	dstip	sport	dport	pkts	bytes
2013-04-06 11:19:46	10.9.81.5	172.30.0.3	51358	58513	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51358	7740	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51358	30422	0	0
2013-04-06 11:19:53	10.9.81.5	172.30.0.2	51358	41364	0	0
2013-04-06 11:19:53	10.9.81.5	172.30.0.2	51357	37590	0	0
2013-04-06 11:19:53	10.9.81.5	172.30.0.2	51357	13210	0	0
2013-04-06 11:19:53	10.9.81.5	172.30.0.2	51357	58433	0	0
2013-04-06 11:19:53	10.9.81.5	172.30.0.2	51357	30965	0	0
2013-04-06 11:19:53	10.9.81.5	172.30.0.2	51357	20302	0	0
2013-04-06 11:19:53	10.9.81.5	172.30.0.2	51357	41104	0	0
2013-04-06 11:19:53	10.9.81.5	172.30.0.2	51357	10534	0	0
2013-04-06 11:19:53	10.9.81.5	172.30.0.2	51359	41960	0	0
2013-04-06 11:19:53	10.9.81.5	172.30.0.2	51359	60367	0	0
2013-04-06 11:19:53	10.9.81.5	172.30.0.2	51359	15406	0	0
2013-04-06 11:19:53	10.9.81.5	172.30.0.2	51359	53942	0	0
2013-04-06 11:19:53	10.9.81.5	172.30.0.2	51359	64422	0	0
2013-04-06 11:19:53	10.9.81.5	172.30.0.2	51359	29753	0	0
2013-04-06 11:19:53	10.9.81.5	172.30.0.2	51359	43886	0	0
2013-04-06 11:19:53	10.9.81.5	172.30.0.2	51359	23637	0	0
2013-04-06 11:19:53	10.9.81.5	172.30.0.2	51359	41243	0	0
2013-04-06 11:19:53	10.9.81.5	172.30.0.2	51359	14498	0	0
2013-04-06 11:19:53	10.9.81.5	172.30.0.2	51359	9672	0	0
2013-04-06 11:19:53	10.9.81.5	172.30.0.2	51359	16892	0	0
2013-04-06 11:19:53	10.9.81.5	172.30.0.2	51359	48479	0	0
2013-04-06 11:19:53	10.9.81.5	172.30.0.2	51359	18636	0	0
2013-04-06 11:19:53	10.9.81.5	172.30.0.2	51359	40510	0	0
2013-04-06 11:19:53	10.9.81.5	172.30.0.2	51359	2872	0	0
2013-04-06 11:19:53	10.9.81.5	172.30.0.2	51359	51071	0	0
2013-04-06 11:19:53	10.9.81.5	172.30.0.2	51359	40378	0	0
2013-04-06 11:19:53	10.9.81.5	172.30.0.2	51359	23770	0	0
2013-04-06 11:19:53	10.9.81.5	172.30.0.2	51358	24931	0	0
2013-04-06 11:19:53	10.9.81.5	172.30.0.2	51358	2571	0	0
2013-04-06 11:19:53	10.9.81.5	172.30.0.2	51358	65251	0	0
2013-04-06 11:20:05	10.9.81.5	172.30.0.3	1542	135	4	24
2013-04-06 11:20:05	10.9.81.5	172.30.0.3	1508	445	4	111
2013-04-06 11:20:05	10.9.81.5	172.30.0.3	1503	135	3	0
2013-04-06 11:20:05	10.9.81.5	172.30.0.3	1501	80	4	1412
2013-04-06 11:20:06	10.9.81.5	172.30.0.2	1535	464	2	0
2013-04-06 11:20:07	10.9.81.5	172.30.0.2	1493	5722	4	0
2013-04-06 11:20:08	10.9.81.5	172.30.0.3	1506	139	3	5
2013-04-06 11:20:09	10.9.81.5	172.30.0.2	1541	49170	4	0
2013-04-06 11:20:09	10.9.81.5	172.30.0.2	1540	49158	4	0
2013-04-06 11:20:09	10.9.81.5	172.30.0.2	1538	5722	4	0
2013-04-06 11:20:09	10.9.81.5	172.30.0.2	1537	49154	4	0
2013-04-06 11:20:10	10.9.81.5	172.30.0.3	1553	443	3	873
2013-04-06 11:20:10	10.9.81.5	172.30.0.3	1507	443	3	0
2013-04-06 11:20:10	10.9.81.5	172.30.0.2	1539	49155	5	0
2013-04-06 11:20:11	10.9.81.5	172.30.0.3	1530	10578	4	0
2013-04-06 11:20:11	10.9.81.5	172.30.0.3	1529	10557	4	0
2013-04-06 11:20:11	10.9.81.5	172.30.0.3	1511	1028	4	0
2013-04-06 11:20:14	10.9.81.5	172.30.0.2	1552	49170	4	0
2013-04-06 11:20:14	10.9.81.5	172.30.0.2	1551	49155	3	0
2013-04-06 11:20:14	10.9.81.5	172.30.0.2	1548	49154	4	0
2013-04-06 11:20:15	10.9.81.5	172.30.0.3	1536	10584	4	0
2013-04-06 11:20:16	10.9.81.5	172.30.0.3	1545	10642	4	0
2013-04-06 11:20:16	10.9.81.5	172.30.0.3	1557	10578	4	0
2013-04-06 11:20:16	10.9.81.5	172.30.0.3	1556	10557	4	0
2013-04-06 11:20:16	10.9.81.5	172.30.0.3	1555	1028	4	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	48655	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	6672	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	7193	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	43661	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	381	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	52673	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	64134	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	24457	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	15372	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	21335	0	0
